program, simb_program
fatorial, ident
;, simb_pv
var, simb_var
x, ident
,, ERRO! ("Caractere não permitido")
aux, ident
,, ERRO! ("Caractere não permitido")
fat, ident
:, simb_dp
integer, simb_tipo_int
;, simb_pv
begin, simb_begin
read, simb_read
(, simb_abrir_parentese
x, ident
), simb_fechar_parentese
;, simb_pv
fat, ident
:=, simb_atrib
1, integer_number
;, simb_pv
for, simb_for
aux, ident
:=, simb_atrib
1, integer_number
to, simb_to
x, ident
do, simb_do
begin, simb_begin
fat, ident
:=, simb_atrib
fat, ident
*, simb_mul
aux, ident
;, simb_pv
end, simb_end
;, simb_pv
write, write
(, simb_abrir_parentese
fat, ident
), simb_fechar_parentese
;, simb_pv
end, simb_end
., simb_dot
