program, simb_program
soma_1, ident
;, simb_pv
var, simb_var
i, ident
,, simb_virgula
j, ident
,, simb_virgula
res, ident
:, simb_dp
integer, simb_tipo_int
;, simb_pv
begin, simb_begin
read, simb_read
(, simb_abrir_parentese
i, ident
,, simb_virgula
j, ident
), simb_fechar_parentese
;, simb_pv
1, integer_number
res, ident
:=, simb_atrib
0, integer_number
;, simb_pv
while, simb_while
(, simb_abrir_parentese
j, ident
>, simb_maior
0, integer_number
), simb_fechar_parentese
du, ident
begin, simb_begin
res, ident
:=, simb_atrib
res, ident
+, simb_soma
i, ident
;, simb_pv
j, ident
:=, simb_atrib
j, ident
-, simb_sub
1, integer_number
;, simb_pv
end, simb_end
;, simb_pv
end, simb_end
., simb_dot
